active-layer	active layer	expression
active-learner	active learner	expression
active-learning	active learning	expression
active-matrix	active matrix	expression
active-partner	active partner	expression
active-population	active population	expression
active-recovery	active recovery	expression
active-resistance	active resistance	expression
active-roster	active roster	expression
active-service	active service	expression
active-site	active site	expression
active-space	active space	expression
active-stock	active stock	expression
active-surveillance	active surveillance	expression
active-trading	active trading	expression
active-transportation	active transportation	expression
active-travel	active travel	expression
active-trust	active trust	expression
active-voice	active voice	expression
actively	actively	word
activewear	activewear	word
activism	activism	word
activist	activist	word
activity	activity	word
activity-gym	activity gym	expression
activity-holiday	activity holiday	expression
activity-sampling	activity sampling	expression
actor	actor	word
actress	actress	word
actual	actual	word
actual-bodily-harm	actual bodily harm	expression
actual-cash-value	actual cash value	expression
actual-damages	actual damages	expression
actual-loss	actual loss	expression
actual-price	actual price	expression
actual-total-loss	actual total loss	expression
actual-yield	actual yield	expression
actuality	actuality	word
actualization	actualization	word
actualize	actualize	word
actually	actually	word
actuarial	actuarial	word
actuarial-risk	actuarial risk	expression
actuary	actuary	word
actuate	actuate	word
actuated	actuated	word
actuating	actuating	word
actuation	actuation	word
actuator	actuator	word
acuity	acuity	word
acuk	.ac.uk	word
acumen	acumen	word
acuminate	acuminate	word
acupressure	acupressure	word
acupuncture	acupuncture	word
acupuncturist	acupuncturist	word
acute	acute	word
acute-angle	acute angle	expression
acute-phase	acute phase	expression
acute-toxicity	acute toxicity	expression
acutely	acutely	word
